STATIC_ECC_A,DYNAMIC_ECC,X,Y,L1,L2,U1,U2,TORQUE_RIPPLE,CURRENT_SPECTRUM,L1_U1_RATIO
0.0125,0.15,47.7,47.55,-54.075,-59.4765,-56.0376,-37.5219,0.48,4.249,0.9649770868
0.0165,0.15,47.7,47.55,-51.7682,-59.4121,-53.9447,-37.5205,0.49,4.249,0.9596531263
0.018,0.15,47.7,47.55,-51.04,-59.3868,-53.2732,-37.52,0.49,4.249,0.9580802355
0.05,0.175,47.7,47.525,-42.4025,-57.9474,-44.9981,-36.2963,0.64,4.302,0.9423175645
0.135,0.175,47.7,47.525,-33.8606,-56.9207,-36.6363,-36.2702,0.83,4.329,0.9242363448
0.215,0.175,47.7,47.525,-29.835,-56.0752,-32.6511,-36.2444,1.03,4.373,0.9137517572
